"death","pm10tmean","date","tmpd","dptp","dow"
222,NA,1987-01-01,34.5,33.1875,"Thursday"
246,NA,1987-01-02,36.5,29.8125,"Friday"
214,-17.10315342,1987-01-03,35.75,23.3125,"Saturday"
208,NA,1987-01-04,30.25,20.375,"Sunday"
228,NA,1987-01-05,31.75,21.625,"Monday"
245,NA,1987-01-06,33.25,30.875,"Tuesday"
236,NA,1987-01-07,42,26.9375,"Wednesday"
224,NA,1987-01-08,35.25,16.75,"Thursday"
202,1.4561327231,1987-01-09,36.25,24.5625,"Friday"
209,NA,1987-01-10,38.5,40.0625,"Saturday"
226,NA,1987-01-11,38,22.5,"Sunday"
224,NA,1987-01-12,37,24.8125,"Monday"
224,NA,1987-01-13,39.5,23.3125,"Tuesday"
239,NA,1987-01-14,41,32.3125,"Wednesday"
226,5.0433816425,1987-01-15,49.75,40.1875,"Thursday"
238,NA,1987-01-16,39.5,14.5625,"Friday"
216,NA,1987-01-17,27.25,5.875,"Saturday"
208,NA,1987-01-18,32.25,35.125,"Sunday"
218,NA,1987-01-19,34.75,30.375,"Monday"
240,NA,1987-01-20,31,22.4375,"Tuesday"
231,4.7061327231,1987-01-21,35,18.3125,"Wednesday"
221,NA,1987-01-22,32,30.625,"Thursday"
233,NA,1987-01-23,27.25,11.9375,"Friday"
235,NA,1987-01-24,15.5,-3.875,"Saturday"
218,NA,1987-01-25,18,10.0625,"Sunday"
236,NA,1987-01-26,21.5,6.75,"Monday"
226,1.7211327231,1987-01-27,18,1.0625,"Tuesday"
230,NA,1987-01-28,22.5,11.25,"Wednesday"
226,NA,1987-01-29,30,20.8125,"Thursday"
219,NA,1987-01-30,34.5,36.125,"Friday"
235,NA,1987-01-31,34,19.75,"Saturday"
189,NA,1987-02-01,31.75,23.6875,"Sunday"
234,31.706132723,1987-02-02,39,33.75,"Monday"
260,NA,1987-02-03,43.25,33.25,"Tuesday"
226,NA,1987-02-04,38.5,21.5,"Wednesday"
225,NA,1987-02-05,29,13.1875,"Thursday"
213,NA,1987-02-06,37.75,25.375,"Friday"
215,NA,1987-02-07,41.5,23.25,"Saturday"
214,-3.624736842,1987-02-08,37.25,35.125,"Sunday"
223,NA,1987-02-09,29.75,9.9375,"Monday"
208,NA,1987-02-10,27.75,21.6875,"Tuesday"
206,NA,1987-02-11,35.5,17,"Wednesday"
215,NA,1987-02-12,31.5,25.3125,"Thursday"
212,NA,1987-02-13,25.25,-0.375,"Friday"
215,-9.302463768,1987-02-14,22.25,11.4375,"Saturday"
187,NA,1987-02-15,14.5,-5,"Sunday"
203,NA,1987-02-16,19.5,9.375,"Monday"
230,NA,1987-02-17,28,4.3125,"Tuesday"
234,NA,1987-02-18,32.75,8.3125,"Wednesday"
218,NA,1987-02-19,31,10.125,"Thursday"
201,-9.778867277,1987-02-20,33.5,8.4375,"Friday"
186,NA,1987-02-21,35.5,15.9375,"Saturday"
215,NA,1987-02-22,38,27,"Sunday"
248,NA,1987-02-23,37.25,23.3125,"Monday"
220,NA,1987-02-24,37.75,11.4375,"Tuesday"
194,NA,1987-02-25,35.5,12.9375,"Wednesday"
181,-9.955533944,1987-02-26,36,18.125,"Thursday"
211,NA,1987-02-27,35.5,25.3125,"Friday"
209,NA,1987-02-28,35.25,33.3125,"Saturday"
213,NA,1987-03-01,40.75,39.1875,"Sunday"
220,NA,1987-03-02,43.25,25.3125,"Monday"
223,-13.34,1987-03-03,37.5,28.6875,"Tuesday"
224,-10.49404526,1987-03-04,35,17.5,"Wednesday"
209,NA,1987-03-05,34.75,17.75,"Thursday"
217,NA,1987-03-06,41.75,29.5625,"Friday"
201,NA,1987-03-07,56,37.125,"Saturday"
228,NA,1987-03-08,61.25,40.0625,"Sunday"
217,NA,1987-03-09,43.5,16.1875,"Monday"
205,-11.76482009,1987-03-10,21.75,-1.875,"Tuesday"
197,NA,1987-03-11,25.75,19.1875,"Wednesday"
188,NA,1987-03-12,32.75,30.8125,"Thursday"
237,NA,1987-03-13,35.75,25.25,"Friday"
182,NA,1987-03-14,38.25,11.6875,"Saturday"
204,NA,1987-03-15,38.25,26.5625,"Sunday"
236,-9.956618357,1987-03-16,37,11.75,"Monday"
205,NA,1987-03-17,38.25,17.3125,"Tuesday"
213,NA,1987-03-18,44.25,20.1875,"Wednesday"
201,NA,1987-03-19,44,25.6875,"Thursday"
225,NA,1987-03-20,41.75,27.9375,"Friday"
180,NA,1987-03-21,41,35.4375,"Saturday"
207,-22.48536398,1987-03-22,45.75,31.8125,"Sunday"
210,NA,1987-03-23,52.25,34.5,"Monday"
205,NA,1987-03-24,53,34.6875,"Tuesday"
210,NA,1987-03-25,53.75,33.4375,"Wednesday"
195,NA,1987-03-26,56,34.625,"Thursday"
194,NA,1987-03-27,55.5,40.4375,"Friday"
187,8.4069065467,1987-03-28,53.5,46.625,"Saturday"
202,NA,1987-03-29,52.25,42.3125,"Sunday"
225,NA,1987-03-30,53,51.3125,"Monday"
199,NA,1987-03-31,48.75,41.0625,"Tuesday"
186,NA,1987-04-01,39.5,19.75,"Wednesday"
200,NA,1987-04-02,44.5,38.9375,"Thursday"
206,-5.353153423,1987-04-03,49.5,41.0625,"Friday"
206,NA,1987-04-04,50,41.375,"Saturday"
200,NA,1987-04-05,48,41.5,"Sunday"
195,NA,1987-04-06,43.75,41.1875,"Monday"
236,NA,1987-04-07,49.75,43.4375,"Tuesday"
204,NA,1987-04-08,48.75,36.1875,"Wednesday"
221,-12.28995169,1987-04-09,53,38.25,"Thursday"
219,NA,1987-04-10,58.75,38.8125,"Friday"
221,NA,1987-04-11,59.25,44.25,"Saturday"
210,NA,1987-04-12,58.5,50.125,"Sunday"
203,NA,1987-04-13,49.25,38,"Monday"
212,NA,1987-04-14,53,39.4375,"Tuesday"
190,7.3881769641,1987-04-15,51,29.5,"Wednesday"
207,NA,1987-04-16,46,44.5625,"Thursday"
207,NA,1987-04-17,49,50.75,"Friday"
223,NA,1987-04-18,56.5,56.375,"Saturday"
208,NA,1987-04-19,63,55.6875,"Sunday"
205,NA,1987-04-20,62.25,57,"Monday"
209,-6.91137931,1987-04-21,62,54.75,"Tuesday"
200,NA,1987-04-22,59,43.125,"Wednesday"
214,NA,1987-04-23,50,48.125,"Thursday"
184,NA,1987-04-24,52.75,50.25,"Friday"
185,NA,1987-04-25,50,33.25,"Saturday"
183,NA,1987-04-26,52.25,34.5,"Sunday"
192,-11.10315342,1987-04-27,49.5,31.125,"Monday"
208,NA,1987-04-28,42.5,39.0625,"Tuesday"
210,NA,1987-04-29,51,44.9375,"Wednesday"
201,NA,1987-04-30,54,28.75,"Thursday"
191,NA,1987-05-01,54.75,34.5,"Friday"
194,NA,1987-05-02,56,46.3125,"Saturday"
227,5.0745735027,1987-05-03,52.25,46.375,"Sunday"
196,NA,1987-05-04,46.75,42.0625,"Monday"
193,NA,1987-05-05,46.5,42.625,"Tuesday"
192,NA,1987-05-06,54.75,44.9375,"Wednesday"
225,NA,1987-05-07,61.5,43.0625,"Thursday"
188,NA,1987-05-08,56.75,46.0625,"Friday"
218,2.4475362319,1987-05-09,62.5,47.4375,"Saturday"
205,NA,1987-05-10,72.5,52.9375,"Sunday"
216,NA,1987-05-11,64,52.625,"Monday"
215,NA,1987-05-12,68.25,50.5,"Tuesday"
204,NA,1987-05-13,54.75,38.0625,"Wednesday"
199,NA,1987-05-14,53.25,51.875,"Thursday"
220,1.4475362319,1987-05-15,64.5,42.75,"Friday"
206,NA,1987-05-16,56.75,46.875,"Saturday"
199,NA,1987-05-17,69.75,57.1875,"Sunday"
222,NA,1987-05-18,67,52.1875,"Monday"
189,NA,1987-05-19,53.75,42.25,"Tuesday"
186,NA,1987-05-20,53,49.5,"Wednesday"
164,0.5745735027,1987-05-21,60.75,57,"Thursday"
201,NA,1987-05-22,63.5,61.9375,"Friday"
211,NA,1987-05-23,64.75,59.8125,"Saturday"
201,NA,1987-05-24,61.5,53.3125,"Sunday"
193,NA,1987-05-25,56.75,48,"Monday"
188,NA,1987-05-26,57.25,45.25,"Tuesday"
210,-5.205533944,1987-05-27,56.25,53.5,"Wednesday"
225,NA,1987-05-28,68.75,67,"Thursday"
214,NA,1987-05-29,81.5,67.5625,"Friday"
233,NA,1987-05-30,81.75,66.4375,"Saturday"
265,NA,1987-05-31,83.25,68.4375,"Sunday"
238,NA,1987-06-01,79.25,67,"Monday"
265,22.181302682,1987-06-02,70.25,64.8125,"Tuesday"
207,NA,1987-06-03,61.5,57.9375,"Wednesday"
196,NA,1987-06-04,60.5,61.5625,"Thursday"
190,NA,1987-06-05,70.75,49.5,"Friday"
216,NA,1987-06-06,69.5,43.25,"Saturday"
210,NA,1987-06-07,64,59.25,"Sunday"
195,31.977209115,1987-06-08,75.75,61.8125,"Monday"
192,NA,1987-06-09,71.5,54.125,"Tuesday"
205,NA,1987-06-10,66.75,44.3125,"Wednesday"
204,NA,1987-06-11,66.5,55.1875,"Thursday"
208,NA,1987-06-12,69,67.25,"Friday"
194,NA,1987-06-13,76.25,66,"Saturday"
199,1.2488888889,1987-06-14,75,66.5625,"Sunday"
188,NA,1987-06-15,82.75,65.9375,"Monday"
216,NA,1987-06-16,76.75,60.25,"Tuesday"
199,NA,1987-06-17,72.5,52.75,"Wednesday"
189,NA,1987-06-18,73.25,62.875,"Thursday"
210,NA,1987-06-19,75.75,63.9375,"Friday"
209,42.043333333,1987-06-20,82.25,67.375,"Saturday"
196,NA,1987-06-21,71.25,67.0625,"Sunday"
215,NA,1987-06-22,71.5,69.375,"Monday"
217,NA,1987-06-23,73.5,59.1875,"Tuesday"
179,NA,1987-06-24,69.5,58.6875,"Wednesday"
197,NA,1987-06-25,76,60.4375,"Thursday"
207,-4.751111111,1987-06-26,63.75,63.1875,"Friday"
167,NA,1987-06-27,68.75,64.4375,"Saturday"
174,NA,1987-06-28,70,52.625,"Sunday"
178,NA,1987-06-29,74.5,61.8125,"Monday"
179,NA,1987-06-30,80.75,65.875,"Tuesday"
194,NA,1987-07-01,75.75,65.625,"Wednesday"
186,2.8479693487,1987-07-02,68,66.3125,"Thursday"
187,NA,1987-07-03,75.75,63.6875,"Friday"
202,NA,1987-07-04,80,67.5,"Saturday"
183,NA,1987-07-05,75.5,59.3125,"Sunday"
176,NA,1987-07-06,70.5,56.25,"Monday"
182,NA,1987-07-07,68,62.375,"Tuesday"
181,7.6779661017,1987-07-08,74.25,69.375,"Wednesday"
205,NA,1987-07-09,81,71,"Thursday"
220,NA,1987-07-10,82.25,69.25,"Friday"
216,NA,1987-07-11,82.5,72.8125,"Saturday"
208,NA,1987-07-12,80.5,71.8125,"Sunday"
219,NA,1987-07-13,79,72.5625,"Monday"
207,14.155884075,1987-07-14,75.25,68,"Tuesday"
186,NA,1987-07-15,72,52.4375,"Wednesday"
194,NA,1987-07-16,69,50.25,"Thursday"
155,NA,1987-07-17,72.5,57.1875,"Friday"
198,NA,1987-07-18,78.5,66,"Saturday"
230,NA,1987-07-19,80.75,71.1875,"Sunday"
207,37.177688247,1987-07-20,76.75,74.5,"Monday"
221,NA,1987-07-21,84.25,68.5625,"Tuesday"
176,NA,1987-07-22,77.75,71.5625,"Wednesday"
191,NA,1987-07-23,78,74.625,"Thursday"
211,NA,1987-07-24,81.75,75.5,"Friday"
236,NA,1987-07-25,84.75,73.1875,"Saturday"
202,5.3088512241,1987-07-26,77.75,71,"Sunday"
234,NA,1987-07-27,75.75,64.4375,"Monday"
197,NA,1987-07-28,77.5,59.3125,"Tuesday"
191,NA,1987-07-29,71.25,58.5,"Wednesday"
200,NA,1987-07-30,74,67.125,"Thursday"
183,NA,1987-07-31,77.25,65.1875,"Friday"
173,-5.575110836,1987-08-01,72.75,64.625,"Saturday"
219,NA,1987-08-02,74,67.9375,"Sunday"
218,NA,1987-08-03,80.75,71.5,"Monday"
190,NA,1987-08-04,81,71.75,"Tuesday"
194,NA,1987-08-05,77.75,69.0625,"Wednesday"
166,NA,1987-08-06,71.5,61.9375,"Thursday"
170,-1.765447667,1987-08-07,72.25,66.3125,"Friday"
181,NA,1987-08-08,78.5,70.375,"Saturday"
169,NA,1987-08-09,74.5,67.9375,"Sunday"
199,NA,1987-08-10,73,62.8125,"Monday"
209,NA,1987-08-11,73.25,62.1875,"Tuesday"
186,NA,1987-08-12,69.75,58.1875,"Wednesday"
178,-7.442301511,1987-08-13,69.25,61.25,"Thursday"
183,NA,1987-08-14,69.75,67.4375,"Friday"
192,NA,1987-08-15,77.25,70.5625,"Saturday"
179,NA,1987-08-16,78,74.5625,"Sunday"
207,NA,1987-08-17,81.5,76.4375,"Monday"
214,NA,1987-08-18,84.75,59.3125,"Tuesday"
192,10.736271186,1987-08-19,77.75,68.75,"Wednesday"
179,NA,1987-08-20,77.25,52.875,"Thursday"
172,NA,1987-08-21,75.5,60.0625,"Friday"
222,NA,1987-08-22,76.25,70.375,"Saturday"
186,NA,1987-08-23,72,40.625,"Sunday"
216,NA,1987-08-24,67.25,37.8125,"Monday"
198,-0.081855693,1987-08-25,66.5,48.1875,"Tuesday"
182,NA,1987-08-26,69,53.625,"Wednesday"
169,NA,1987-08-27,65.5,60.875,"Thursday"
195,NA,1987-08-28,62.5,61.6875,"Friday"
168,NA,1987-08-29,69.5,56.8125,"Saturday"
189,NA,1987-08-30,68.5,55.6875,"Sunday"
186,-12.15198087,1987-08-31,68,62.6875,"Monday"
190,NA,1987-09-01,68.25,48.375,"Tuesday"
180,NA,1987-09-02,68.5,55.9375,"Wednesday"
184,NA,1987-09-03,67.25,52,"Thursday"
191,NA,1987-09-04,65,54.25,"Friday"
212,NA,1987-09-05,64.75,56,"Saturday"
229,-11.64503643,1987-09-06,69,66,"Sunday"
178,NA,1987-09-07,74,69.125,"Monday"
190,NA,1987-09-08,72.5,72.625,"Tuesday"
212,NA,1987-09-09,77.5,64.4375,"Wednesday"
182,NA,1987-09-10,75.75,64.3125,"Thursday"
178,NA,1987-09-11,71.25,64.75,"Friday"
175,-14.87613843,1987-09-12,68.5,65.375,"Saturday"
189,NA,1987-09-13,71,71.4375,"Sunday"
197,NA,1987-09-14,73.75,50.4375,"Monday"
188,NA,1987-09-15,66.75,62,"Tuesday"
195,NA,1987-09-16,69.25,66.5625,"Wednesday"
198,NA,1987-09-17,71.75,66.75,"Thursday"
186,-8.370673953,1987-09-18,63.75,57.125,"Friday"
206,NA,1987-09-19,60,56.125,"Saturday"
202,NA,1987-09-20,60,55.8125,"Sunday"
177,NA,1987-09-21,63.5,59.5,"Monday"
215,NA,1987-09-22,66.5,57.5625,"Tuesday"
209,NA,1987-09-23,64.25,53.875,"Wednesday"
202,1.3151555704,1987-09-24,67.25,56.25,"Thursday"
194,NA,1987-09-25,58.5,36.9375,"Friday"
189,NA,1987-09-26,61.5,45.0625,"Saturday"
215,NA,1987-09-27,64.5,56.625,"Sunday"
227,NA,1987-09-28,69.75,63.9375,"Monday"
217,NA,1987-09-29,70,61.5625,"Tuesday"
192,0.7523071223,1987-09-30,66.25,59.875,"Wednesday"
193,NA,1987-10-01,58.25,40.5,"Thursday"
215,NA,1987-10-02,61,56.0625,"Friday"
223,NA,1987-10-03,57.5,48.3125,"Saturday"
198,NA,1987-10-04,47.5,31.125,"Sunday"
219,NA,1987-10-05,57,46.5,"Monday"
222,6.6659016393,1987-10-06,59.25,58.3125,"Tuesday"
238,NA,1987-10-07,61.25,51.3125,"Wednesday"
198,NA,1987-10-08,53.75,42.1875,"Thursday"
214,NA,1987-10-09,51,43.625,"Friday"
199,NA,1987-10-10,56.75,49.625,"Saturday"
201,NA,1987-10-11,48.5,41.5625,"Sunday"
243,-13.8457905,1987-10-12,46.5,39.3125,"Monday"
212,NA,1987-10-13,49,29.5625,"Tuesday"
215,NA,1987-10-14,49.75,38.8125,"Wednesday"
208,NA,1987-10-15,54.75,39.3125,"Thursday"
208,NA,1987-10-16,59,47.3125,"Friday"
225,NA,1987-10-17,56.25,56.4375,"Saturday"
206,-2.470037974,1987-10-18,61.75,45.5625,"Sunday"
229,NA,1987-10-19,57,49.0625,"Monday"
231,NA,1987-10-20,57.25,58.25,"Tuesday"
215,NA,1987-10-21,53.75,36.25,"Wednesday"
220,NA,1987-10-22,50.25,31.875,"Thursday"
185,NA,1987-10-23,54.75,42.125,"Friday"
234,9.711025641,1987-10-24,56.25,49.6875,"Saturday"
228,NA,1987-10-25,52.5,27.1875,"Sunday"
185,NA,1987-10-26,46.75,31.0625,"Monday"
248,NA,1987-10-27,49.25,54.8125,"Tuesday"
200,NA,1987-10-28,55.5,36.0625,"Wednesday"
202,NA,1987-10-29,48,34.1875,"Thursday"
216,2.5730640501,1987-10-30,47.25,40.5,"Friday"
222,NA,1987-10-31,55.5,36.9375,"Saturday"
179,NA,1987-11-01,52,45.6875,"Sunday"
219,NA,1987-11-02,51,45.8125,"Monday"
224,NA,1987-11-03,57,53.75,"Tuesday"
218,NA,1987-11-04,64.75,51.5,"Wednesday"
214,6.7685245902,1987-11-05,55.5,26.3125,"Thursday"
215,NA,1987-11-06,41.25,18.0625,"Friday"
195,NA,1987-11-07,47.75,29.875,"Saturday"
201,NA,1987-11-08,54.75,41.6875,"Sunday"
210,NA,1987-11-09,60,51,"Monday"
234,NA,1987-11-10,44.25,35.375,"Tuesday"
210,-16.53200364,1987-11-11,32.75,29.625,"Wednesday"
225,NA,1987-11-12,38.75,31.4375,"Thursday"
220,NA,1987-11-13,47,33.875,"Friday"
216,NA,1987-11-14,52.75,34.4375,"Saturday"
186,NA,1987-11-15,48,33.75,"Sunday"
206,NA,1987-11-16,46.25,41.8125,"Monday"
238,-0.349214481,1987-11-17,54.5,54.5,"Tuesday"
201,NA,1987-11-18,59.25,33.4375,"Wednesday"
198,NA,1987-11-19,47.75,36.5,"Thursday"
199,NA,1987-11-20,42.25,19.4375,"Friday"
213,NA,1987-11-21,27.75,1.8125,"Saturday"
202,NA,1987-11-22,28.25,9.625,"Sunday"
231,16.721311475,1987-11-23,40.5,36.1875,"Monday"
229,NA,1987-11-24,52,41.625,"Tuesday"
194,NA,1987-11-25,48.75,47.8125,"Wednesday"
238,NA,1987-11-26,50.25,37.25,"Thursday"
213,NA,1987-11-27,38,30.8125,"Friday"
213,NA,1987-11-28,41.5,35.375,"Saturday"
182,-13.35758197,1987-11-29,48.75,50.5625,"Sunday"
216,NA,1987-11-30,53,41.8125,"Monday"
225,NA,1987-12-01,46.25,35.625,"Tuesday"
196,NA,1987-12-02,41.25,21.6875,"Wednesday"
213,NA,1987-12-03,38.75,28.4375,"Thursday"
205,NA,1987-12-04,41,34.5,"Friday"
196,-14.45679355,1987-12-05,35.75,21,"Saturday"
197,NA,1987-12-06,38.5,20.5625,"Sunday"
222,NA,1987-12-07,39,21.625,"Monday"
227,NA,1987-12-08,39.5,28.125,"Tuesday"
200,NA,1987-12-09,47.5,46,"Wednesday"
246,NA,1987-12-10,51.25,39.5,"Thursday"
209,-6.888333333,1987-12-11,45.5,34.125,"Friday"
192,NA,1987-12-12,46.25,33.625,"Saturday"
205,NA,1987-12-13,42.75,24.75,"Sunday"
237,NA,1987-12-14,41.25,25.0625,"Monday"
208,NA,1987-12-15,43.25,45.9375,"Tuesday"
210,NA,1987-12-16,41.75,24.375,"Wednesday"
211,-24.33333333,1987-12-17,36.5,19.9375,"Thursday"
222,NA,1987-12-18,33.5,18.0625,"Friday"
222,NA,1987-12-19,38,24.5,"Saturday"
222,NA,1987-12-20,42,44.9375,"Sunday"
240,NA,1987-12-21,44,24.3125,"Monday"
214,NA,1987-12-22,40,31.0625,"Tuesday"
210,2.9706557377,1987-12-23,42.25,31.1875,"Wednesday"
231,NA,1987-12-24,41.5,41.4375,"Thursday"
188,NA,1987-12-25,49.25,48.5625,"Friday"
239,NA,1987-12-26,43,25.4375,"Saturday"
206,NA,1987-12-27,34,23.3125,"Sunday"
214,NA,1987-12-28,33.25,21.875,"Monday"
194,-6.278688525,1987-12-29,23.5,12,"Tuesday"
211,NA,1987-12-30,15.5,-0.375,"Wednesday"
221,NA,1987-12-31,28.75,28,"Thursday"
225,NA,1988-01-01,40.25,21.875,"Friday"
194,NA,1988-01-02,30.5,10.5625,"Saturday"
204,NA,1988-01-03,27.75,23.625,"Sunday"
260,-1.278688525,1988-01-04,33.5,19.5,"Monday"
229,NA,1988-01-05,18.75,-3,"Tuesday"
217,NA,1988-01-06,15.5,0.75,"Wednesday"
231,NA,1988-01-07,17.25,-1.25,"Thursday"
237,NA,1988-01-08,22.25,23.0625,"Friday"
237,NA,1988-01-09,28.5,13.8125,"Saturday"
261,-2.969344262,1988-01-10,23.75,7.9375,"Sunday"
254,NA,1988-01-11,20,11.875,"Monday"
258,NA,1988-01-12,29,26.375,"Tuesday"
258,NA,1988-01-13,30.75,12.5,"Wednesday"
225,NA,1988-01-14,13,-11.125,"Thursday"
221,NA,1988-01-15,15,5,"Friday"
232,29.479299806,1988-01-16,27.5,19.8125,"Saturday"
218,NA,1988-01-17,34,29,"Sunday"
245,NA,1988-01-18,40.5,37.8125,"Monday"
214,NA,1988-01-19,42.5,28.875,"Tuesday"
210,NA,1988-01-20,38.5,37.9375,"Wednesday"
223,NA,1988-01-21,42.75,25.1875,"Thursday"
219,-8.097783572,1988-01-22,33.25,20,"Friday"
206,NA,1988-01-23,30.5,20.9375,"Saturday"
223,NA,1988-01-24,37,32.0625,"Sunday"
206,NA,1988-01-25,37,32.5,"Monday"
224,NA,1988-01-26,28.5,14.875,"Tuesday"
191,NA,1988-01-27,23,5.6875,"Wednesday"
235,5.3013337038,1988-01-28,22.75,7.25,"Thursday"
221,NA,1988-01-29,25.25,17.0625,"Friday"
194,NA,1988-01-30,36.75,30.125,"Saturday"
193,NA,1988-01-31,44.25,40.5625,"Sunday"
224,NA,1988-02-01,51.25,43.0625,"Monday"
230,NA,1988-02-02,45,36.625,"Tuesday"
200,-14.6986663,1988-02-03,32.25,25,"Wednesday"
202,NA,1988-02-04,31,20.75,"Thursday"
209,NA,1988-02-05,24.75,8.4375,"Friday"
244,NA,1988-02-06,19.25,-1.75,"Saturday"
222,NA,1988-02-07,18.25,4,"Sunday"
237,NA,1988-02-08,31.75,8.125,"Monday"
224,-1.516702753,1988-02-09,29.75,25,"Tuesday"
229,NA,1988-02-10,36,9.875,"Wednesday"
245,NA,1988-02-11,31.75,26.5,"Thursday"
215,NA,1988-02-12,35.25,34.125,"Friday"
239,NA,1988-02-13,25,8.4375,"Saturday"
212,NA,1988-02-14,30.5,15.125,"Sunday"
221,-2.118644068,1988-02-15,39.5,42.5625,"Monday"
239,NA,1988-02-16,39,17.5,"Tuesday"
218,NA,1988-02-17,38.25,29.875,"Wednesday"
238,NA,1988-02-18,42.75,21.1875,"Thursday"
256,NA,1988-02-19,37,34.75,"Friday"
219,NA,1988-02-20,45.75,39.1875,"Saturday"
222,-23.08474576,1988-02-21,33.75,1.9375,"Sunday"
256,NA,1988-02-22,33.25,28,"Monday"
240,NA,1988-02-23,49.5,35.125,"Tuesday"
221,NA,1988-02-24,36.5,10.625,"Wednesday"
209,NA,1988-02-25,32.25,12.6875,"Thursday"
208,NA,1988-02-26,29.25,16.1875,"Friday"
226,-15.02542373,1988-02-27,33,28.625,"Saturday"
227,NA,1988-02-28,33.5,16.9375,"Sunday"
233,NA,1988-02-29,37.5,27.75,"Monday"
246,NA,1988-03-01,35.25,7.0625,"Tuesday"
253,NA,1988-03-02,36.75,32.3125,"Wednesday"
244,NA,1988-03-03,45.5,38.1875,"Thursday"
234,0.1104936556,1988-03-04,37.75,33.5625,"Friday"
221,NA,1988-03-05,34.5,19.625,"Saturday"
238,NA,1988-03-06,37.25,28.9375,"Sunday"
242,NA,1988-03-07,46,25.875,"Monday"
248,NA,1988-03-08,43.75,23.5,"Tuesday"
217,NA,1988-03-09,47,46.625,"Wednesday"
208,-15.19756356,1988-03-10,44.5,18.875,"Thursday"
242,NA,1988-03-11,42,21.8125,"Friday"
243,NA,1988-03-12,44,35.75,"Saturday"
234,NA,1988-03-13,53.5,29.375,"Sunday"
246,NA,1988-03-14,39.75,30.5,"Monday"
232,NA,1988-03-15,37.25,13.375,"Tuesday"
213,-9.425758698,1988-03-16,37.5,23.25,"Wednesday"
252,NA,1988-03-17,41.25,21.4375,"Thursday"
297,NA,1988-03-18,39.5,31.5,"Friday"
245,NA,1988-03-19,41.25,20.75,"Saturday"
226,NA,1988-03-20,35,7,"Sunday"
209,NA,1988-03-21,28.25,3.875,"Monday"
212,-11.51485945,1988-03-22,30.5,1.1875,"Tuesday"
249,NA,1988-03-23,37.75,31.25,"Wednesday"
265,NA,1988-03-24,55,47,"Thursday"
218,NA,1988-03-25,51.75,47.75,"Friday"
235,NA,1988-03-26,50.75,48.375,"Saturday"
213,NA,1988-03-27,49.75,25.9375,"Sunday"
213,-15.43140842,1988-03-28,47.25,21.5625,"Monday"
214,NA,1988-03-29,48,29.75,"Tuesday"
214,NA,1988-03-30,47,39.9375,"Wednesday"
191,NA,1988-03-31,53.5,33.5,"Thursday"
239,NA,1988-04-01,48.25,39,"Friday"
217,NA,1988-04-02,50.25,40.875,"Saturday"
195,-5.006018443,1988-04-03,49.25,48.5,"Sunday"
223,NA,1988-04-04,55.5,52.1875,"Monday"
239,NA,1988-04-05,60.25,43.3125,"Tuesday"
213,NA,1988-04-06,48.25,40.4375,"Wednesday"
206,NA,1988-04-07,44,41.5625,"Thursday"
199,NA,1988-04-08,50,41.25,"Friday"
198,-22.64892254,1988-04-09,54,35.625,"Saturday"
214,NA,1988-04-10,52.25,33.75,"Sunday"
194,NA,1988-04-11,49.25,39.125,"Monday"
189,NA,1988-04-12,45.75,32.6875,"Tuesday"
196,NA,1988-04-13,44.5,32.1875,"Wednesday"
192,NA,1988-04-14,43.25,32.9375,"Thursday"
232,4.0662737513,1988-04-15,45.5,41.9375,"Friday"
224,NA,1988-04-16,43,27.375,"Saturday"
206,NA,1988-04-17,52.25,32.125,"Sunday"
213,NA,1988-04-18,54.25,43,"Monday"
225,NA,1988-04-19,43.25,26.3125,"Tuesday"
236,NA,1988-04-20,47.25,23.0625,"Wednesday"
198,-3.585290786,1988-04-21,51,24.1875,"Thursday"
204,NA,1988-04-22,49.75,21.625,"Friday"
203,NA,1988-04-23,48.75,41.3125,"Saturday"
224,NA,1988-04-24,51.75,32.75,"Sunday"
218,NA,1988-04-25,54.25,27,"Monday"
214,NA,1988-04-26,51,40,"Tuesday"
208,1.7213114754,1988-04-27,55.75,47.9375,"Wednesday"
176,NA,1988-04-28,56.75,37.5,"Thursday"
195,NA,1988-04-29,52,41,"Friday"
217,NA,1988-04-30,52.5,38.6875,"Saturday"
198,NA,1988-05-01,52.25,39.25,"Sunday"
216,NA,1988-05-02,50.5,42.75,"Monday"
199,-1.661016949,1988-05-03,51,45,"Tuesday"
223,NA,1988-05-04,57.25,47.5625,"Wednesday"
210,NA,1988-05-05,54,53.5625,"Thursday"
193,NA,1988-05-06,55.75,55.5,"Friday"
212,NA,1988-05-07,64,47,"Saturday"
185,NA,1988-05-08,54.5,36.875,"Sunday"
207,-7.233649039,1988-05-09,52.25,45.8125,"Monday"
211,NA,1988-05-10,56.25,54.1875,"Tuesday"
192,NA,1988-05-11,61,53.6875,"Wednesday"
196,NA,1988-05-12,59.25,51.3125,"Thursday"
213,NA,1988-05-13,62.75,57,"Friday"
212,NA,1988-05-14,60,47.6875,"Saturday"
183,-14.86321343,1988-05-15,57.5,50.3125,"Sunday"
192,NA,1988-05-16,61.75,58.5625,"Monday"
194,NA,1988-05-17,61,59.625,"Tuesday"
199,NA,1988-05-18,59.5,59,"Wednesday"
175,NA,1988-05-19,58.75,57.1875,"Thursday"
185,NA,1988-05-20,62.5,56.9375,"Friday"
189,1.547042982,1988-05-21,61,59,"Saturday"
203,NA,1988-05-22,63.75,58.1875,"Sunday"
